'2018/05/03 01:00:00 +0900', 25.9, 51, 1000, 50.3, 36.80, 14.01, 50.541
'2018/05/03 01:30:35 +0900', 25.9, 51, 1000, 48.7, 36.26, 22.94, 52.659
'2018/05/03 02:00:59 +0900', 25.9, 51, 1000, 49.2, 46.69, 25.25, 48.906
'2018/05/03 02:30:17 +0900', 25.9, 51, 1000, 49.2, 42.48, 24.27, 51.198
'2018/05/03 03:00:31 +0900', 25.9, 51, 1000, 49.2, 42.48, 24.27, 51.198
'2018/05/03 03:30:56 +0900', 25.9, 50, 1000, 49.8, 40.75, 23.76, 51.349
'2018/05/03 04:00:13 +0900', 25.9, 50, 1000, 49.2, 41.60, 21.63, 53.037
'2018/05/03 04:30:36 +0900', 25.9, 50, 1000, 49.2, 41.40, 22.80, 51.891
'2018/05/03 05:30:20 +0900', 25.9, 50, 1001, 49.8, 44.37, 23.79, 49.361
'2018/05/03 06:00:34 +0900', 25.8, 50, 1001, 49.2, 44.37, 23.79, 49.361
'2018/05/03 06:30:56 +0900', 25.8, 50, 1001, 49.2, 42.92, 17.43, 53.356
'2018/05/03 07:00:15 +0900', 25.9, 50, 1001, 49.8, 51.46, 26.22, 50.284
'2018/05/03 07:30:29 +0900', 25.9, 50, 1002, 49.8, 51.46, 26.22, 50.284
'2018/05/03 08:00:55 +0900', 25.9, 51, 1002, 49.8, 44.81, 24.42, 49.122
'2018/05/03 08:30:16 +0900', 25.9, 51, 1003, 48.7, 43.69, 22.57, 50.935
'2018/05/03 09:00:30 +0900', 25.9, 50, 1003, 49.2, 43.69, 22.57, 50.935
'2018/05/03 09:30:52 +0900', 25.9, 49, 1003, 49.2, 46.74, 17.51, 52.003
'2018/05/03 10:00:07 +0900', 25.9, 48, 1003, 48.7, 42.03, 18.10, 49.623
'2018/05/03 10:30:30 +0900', 25.9, 48, 1004, 49.2, 42.99, 22.01, 52.429
'2018/05/03 11:00:55 +0900', 25.9, 48, 1004, 49.2, 42.63, 23.20, 57.219
'2018/05/03 11:30:14 +0900', 25.9, 47, 1005, 48.7, 40.80, 25.21, 51.363
'2018/05/03 12:00:38 +0900', 25.8, 47, 1004, 49.8, 42.73, 24.85, 48.573
'2018/05/03 13:00:22 +0900', 25.8, 46, 1004, 49.2, 50.32, 19.88, 53.076
'2018/05/03 13:30:48 +0900', 25.8, 45, 1004, 49.2, 45.33, 24.17, 49.046
